Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
0.546875,0.009933734,,0.993260726,0.000415372,,0.453125,0.013288474,,0.77696,0.00434,,0.4765625,0.01330756,,0.925383136,0.001053291,,0.3984375,0.012620441,,,
0.536458373,0.010385593,,0.99348775,0.000393387,,0.427083343,0.012813946,,0.72803,0.00554,,0.46875,0.012718376,,0.912401651,0.001181267,,0.401041687,0.012444199,,,
0.546875,0.010326791,,0.988822947,0.00040715,,0.41015625,0.01288738,,0.63625,0.00726,,0.46274513,0.012474729,,0.903851186,0.001268125,,0.38671875,0.013337876,,,
0.550000012,0.01066156,,0.982043465,0.000430266,,0.425000012,0.012273549,,0.72896,0.00587,,0.470219433,0.012169652,,0.883971378,0.001492806,,0.375,0.013277079,,,
0.559895873,0.010351454,,0.97872136,0.000449257,,0.424479187,0.012213709,,0.76283,0.00491,,0.464751959,0.012176236,,0.863556748,0.001789893,,0.3984375,0.012874095,,,
0.524553597,0.010822534,,0.975381176,0.000474853,,0.424107164,0.012203946,,0.77881,0.00482,,0.485458612,0.011807043,,0.845309158,0.002245265,,0.399553597,0.012980034,,,
0.515625,0.011009246,,0.97061801,0.000507567,,0.421875,0.012122573,,0.75196,0.00507,,0.491193742,0.01166045,,0.830864206,0.0026679,,0.41015625,0.012926557,,,
0.505208313,0.010865999,,0.964980245,0.000532935,,0.424347848,0.012103307,,0.72208,0.00577,,0.497391313,0.011533841,,0.784688344,0.002634206,,0.421875,0.013047041,,,
0.498437494,0.010902152,,0.970069552,0.000539358,,0.422535211,0.012166015,,0.83132,0.00328,,0.494522691,0.011495441,,0.838365376,0.001973539,,0.417187512,0.012914425,,,
0.488636374,0.01100152,,0.966221457,0.000549885,,0.428164989,0.011976166,,0.85032,0.00304,,0.497866273,0.011357808,,0.842326303,0.002263776,,0.414772749,0.012733681,,,
0.49674055,0.010981685,,0.957041527,0.000631273,,0.423728794,0.011917212,,0.84093,0.00296,,0.486310303,0.01145293,,0.883332208,0.001730844,,0.426336378,0.012605881,,,
0.609375,0.009104421,,0.925878132,0.00082525,,0.453125,0.013348414,,0.87679,0.00275,,0.515625,0.01179398,,0.930431187,0.001180144,,0.328125,0.012821441,,,
0.5625,0.009334076,,0.925562233,0.001008643,,0.46875,0.012160008,,0.86953,0.00265,,0.4765625,0.012123615,,0.921561668,0.001249403,,0.3984375,0.011941444,,,
0.557291687,0.009739616,,0.855198185,0.002315218,,0.453125,0.011875437,,0.87892,0.0026,,0.479166687,0.011730573,,0.919190258,0.001262291,,0.401041687,0.011799114,,,
0.578125,0.009636448,,0.812917992,0.003009591,,0.4296875,0.011994327,,0.88329,0.00261,,0.470588267,0.011604249,,0.867695168,0.001839566,,0.390625,0.012648892,,,
0.568750024,0.00996494,,0.796113918,0.003103654,,0.453125,0.011403359,,0.88329,0.0026,,0.482758611,0.011305278,,0.865434383,0.001936076,,0.381249994,0.012583569,,,
0.5703125,0.009651096,,0.839323506,0.002576183,,0.447916687,0.011385341,,0.88329,0.00259,,0.485639691,0.011347645,,0.774171968,0.00344875,,0.4140625,0.012200115,,,
0.537946463,0.010082904,,0.854530265,0.002101122,,0.450892866,0.011394149,,0.88329,0.0026,,0.505592823,0.010967969,,0.775671487,0.005342602,,0.419642866,0.012286665,,,
0.52734375,0.010254395,,0.782947058,0.002806877,,0.447265625,0.0113166,,0.88329,0.00259,,0.508806229,0.010834912,,0.782910759,0.003287078,,0.427734375,0.012250998,,,
0.520833313,0.010132567,,0.952357317,0.001028409,,0.446956545,0.011275358,,0.88329,0.00258,,0.506086946,0.01072138,,0.878950253,0.001886882,,0.439236104,0.012347205,,,
0.518750012,0.010152165,,0.974643951,0.000733629,,0.444444448,0.011321416,,0.88329,0.00257,,0.507042229,0.010646152,,0.925447469,0.001292149,,0.435937494,0.012206747,,,
0.511363626,0.010258576,,0.983805224,0.000500085,,0.448079646,0.011130396,,0.88329,0.00257,,0.509246111,0.010513197,,0.950783779,0.000900599,,0.433238655,0.01201853,,,
0.517601013,0.010260443,,0.988908763,0.000433156,,0.445893079,0.011091245,,0.88329,0.00256,,0.500651896,0.010637638,,0.967528805,0.000714374,,0.443285525,0.011919187,,,
0.625,0.00833009,,0.98767676,0.000399357,,0.484375,0.012264466,,0.88403,0.00256,,0.609375,0.010754352,,0.980163813,0.00058577,,0.375,0.012085103,,,
0.6015625,0.008644682,,0.991404424,0.00037439,,0.5234375,0.011141778,,0.88403,0.00255,,0.5546875,0.011224109,,0.989764611,0.000505809,,0.4296875,0.011220569,,,
0.583333373,0.009079072,,0.989642143,0.000350354,,0.5,0.010995246,,0.88403,0.00255,,0.53125,0.010908429,,0.992955918,0.000468476,,0.4375,0.011084233,,,
0.59765625,0.008909719,,0.988097166,0.000344662,,0.4609375,0.011175935,,0.88318,0.00255,,0.521568656,0.010778337,,0.992955918,0.000443734,,0.4296875,0.011884457,,,
0.596875012,0.009215334,,0.987988522,0.000334471,,0.478125006,0.010600584,,0.88318,0.00254,,0.52664578,0.010512779,,0.993183106,0.000418167,,0.421875,0.011781132,,,
0.596354187,0.008918891,,0.985768735,0.000325979,,0.479166687,0.010611515,,0.88318,0.00254,,0.53263706,0.010519834,,0.993183106,0.000391146,,0.447916687,0.011470865,,,
0.569196463,0.009310188,,0.985768735,0.000322657,,0.479910731,0.01061199,,0.88341,0.00254,,0.550335586,0.010153607,,0.996019021,0.000366518,,0.45312503,0.011528433,,,
