Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
0.479166687,0.011652536,,0.914691349,0.001102917,,0.459530026,0.012497688,,0.982767423,0.000458501,,0.403645843,0.013907064,,0.8345,0.00372,,0.436031342,0.013868008,,0.886232426,0.001529693
0.479910731,0.011708096,,0.955961719,0.000779794,,0.449664444,0.012515929,,0.988252839,0.000447794,,0.393736005,0.013946688,,0.84076,0.00356,,0.440715879,0.013683245,,0.898564642,0.00156964
0.474609375,0.011618388,,0.942625423,0.000670248,,0.442270041,0.012966828,,0.988252839,0.000437679,,0.401174158,0.013759892,,0.83258,0.00351,,0.436399221,0.013553146,,0.863072609,0.00202217
0.482638896,0.01150526,,0.926460132,0.000798325,,0.438260883,0.012957868,,0.988252839,0.000428105,,0.391304344,0.013885645,,0.84167,0.00349,,0.434782624,0.013467676,,0.825291942,0.003083447
0.481250018,0.011533075,,0.94367971,0.000764779,,0.42879498,0.013189156,,0.988252839,0.000418798,,0.375586838,0.014119966,,0.83749,0.00347,,0.436619699,0.013252542,,0.829748188,0.002668716
0.484375,0.011569655,,0.939950218,0.000841426,,0.438122332,0.013190779,,0.988252839,0.000409618,,0.371266007,0.014288792,,0.83816,0.00345,,0.443812221,0.013120757,,0.850463629,0.002725582
0.487614065,0.011499278,,0.907974049,0.001218117,,0.441981733,0.012994521,,0.988252839,0.00040049,,0.362451106,0.014220793,,0.83816,0.00344,,0.444589287,0.013033131,,0.813541388,0.003075124
0.515625,0.009982996,,0.882675146,0.001517632,,0.625,0.011059511,,0.988918453,0.00039134,,0.484375,0.013312198,,0.83981,0.00343,,0.5,0.011174188,,0.965496729,0.001059348
0.4375,0.012090721,,0.873861005,0.002011074,,0.5,0.012889957,,0.990576093,0.000382225,,0.4375,0.014232469,,0.83816,0.00342,,0.46875,0.013028224,,0.950181593,0.000916727
0.473958343,0.011408786,,0.818747595,0.00258139,,0.520833373,0.012318132,,0.987833381,0.000373212,,0.411458343,0.014159333,,0.83816,0.00342,,0.418848157,0.014107726,,0.971157427,0.000712123
0.4765625,0.011432793,,0.97026214,0.000965818,,0.525490224,0.011863081,,0.989666755,0.000364541,,0.42578125,0.013840137,,0.83816,0.00341,,0.447058856,0.013175359,,0.93126449,0.000902347
0.484375,0.011190533,,0.946881379,0.000972522,,0.498432577,0.012098602,,0.989666755,0.000356512,,0.425000012,0.013678829,,0.83816,0.00341,,0.454545438,0.013264741,,0.968963002,0.000655074
0.4921875,0.01097707,,0.925402214,0.000969238,,0.490861624,0.012251163,,0.989666755,0.000349766,,0.4296875,0.01356475,,0.83816,0.00341,,0.449086159,0.013352813,,0.935158273,0.000883467
0.502232194,0.011017576,,0.958396544,0.000809648,,0.474272937,0.012287602,,0.992409468,0.000344803,,0.434004486,0.013539616,,0.83981,0.00341,,0.451901555,0.013155461,,0.939311907,0.000845251
0.494140625,0.010960708,,0.874970377,0.001519296,,0.465753436,0.012752891,,0.99384897,0.000341364,,0.44618395,0.013351772,,0.83981,0.0034,,0.448140889,0.013014876,,0.900172313,0.001236808
0.498263896,0.010863033,,0.938101421,0.000917464,,0.459130436,0.012711315,,0.99384897,0.000339784,,0.439999998,0.013457458,,0.83981,0.0034,,0.446956545,0.01294237,,0.898623422,0.00133936
0.5,0.010873795,,0.905285383,0.001401549,,0.449139267,0.012941388,,0.994156977,0.000338455,,0.42723003,0.013699517,,0.83931,0.0034,,0.447574317,0.012723697,,0.864217718,0.001778645
0.498579562,0.010909063,,0.903338879,0.001215877,,0.456614494,0.012935309,,0.994156977,0.000340713,,0.423897564,0.013843393,,0.83931,0.0034,,0.456614494,0.012587245,,0.863374809,0.001828251
0.505867004,0.010823363,,0.913262183,0.001178343,,0.45893088,0.012757729,,0.994156977,0.000342306,,0.42112124,0.013768797,,0.83931,0.0034,,0.456323326,0.012497794,,0.909366637,0.001400669
0.59375,0.009260127,,0.905466413,0.001291465,,0.609375,0.010810439,,0.990911732,0.000343129,,0.390625,0.012673712,,0.83981,0.0034,,0.53125,0.010832406,,0.926231672,0.001346127
