Accuracy,loss,,,,,,Accuracy,loss,,,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
0.544502616,0.009148766,,,0.849968006,0.002071301,,0.5078125,0.010746241,,0.846551483,0.002330757,,,,0.423529446,0.011375801,,0.708738406,0.004820901,,0.529411793,0.010978292,,0.808654164,0.003870283
0.568627477,0.008902354,,,0.799489771,0.003182739,,0.521875024,0.010583414,,0.881917412,0.001526077,,,,0.426332265,0.011614123,,0.74499926,0.005068019,,0.539184928,0.010611869,,0.831605966,0.003563848
0.548589349,0.009342031,,,0.76353398,0.0025042,,0.520833373,0.010487381,,0.859023864,0.002080835,,,,0.443864226,0.011427156,,0.739508947,0.004607433,,0.522193193,0.010828455,,0.82282716,0.003555163
0.545691907,0.009423867,,,0.878396188,0.001759014,,0.498881429,0.010892666,,0.874376357,0.001878023,,,,0.44295302,0.011367237,,0.746914158,0.004540684,,0.532438457,0.01059917,,0.839720274,0.003397374
0.557047009,0.00930955,,,0.928598732,0.001224926,,0.50097847,0.010721406,,0.86086522,0.002280322,,,,0.454011738,0.011151076,,0.684787571,0.005537866,,0.526418805,0.010548129,,0.80481107,0.003794799
0.55577302,0.009358565,,,0.911870966,0.001275995,,0.495652199,0.010750669,,0.816436792,0.00245977,,,,0.464347839,0.011073752,,0.648003166,0.006658384,,0.514782608,0.010534167,,0.812291314,0.003662205
0.553043485,0.009451015,,,0.872064695,0.001449306,,0.505477309,0.01066664,,0.816213603,0.002277306,,,,0.461658835,0.011052615,,0.57284723,0.007644327,,0.50234741,0.010679363,,0.81791233,0.004025515
0.563380301,0.009187962,,,0.866377021,0.001486558,,0.504978657,0.010542318,,0.900201256,0.001631095,,,,0.45234707,0.01103375,,0.679723248,0.005055775,,0.504978657,0.010592694,,0.769346307,0.004278332
0.566145062,0.00926668,,,0.884681175,0.001503749,,0.501955688,0.010643451,,0.867266496,0.001866885,,,,0.45893088,0.011037433,,0.773069407,0.003977512,,0.501955688,0.010619806,,0.787570094,0.003983877
0.5658409,0.009199085,,,0.906720911,0.001310836,,0.625,0.009259927,,0.909682299,0.001368287,,,,0.421875,0.010327179,,0.848005891,0.003520474,,0.53125,0.009555474,,0.825185413,0.003708137
0.609375,0.006540177,,,0.873974904,0.001568613,,0.59375,0.009707774,,0.959633206,0.000902701,,,,0.4375,0.010542561,,0.86369513,0.003312737,,0.535433054,0.00963219,,0.699609111,0.005187453
0.609375,0.007288167,,,0.903724338,0.001365454,,0.588541687,0.009593297,,0.935699895,0.00087003,,,,0.418848157,0.011042719,,0.863788567,0.003240773,,0.518324614,0.009914535,,0.777843301,0.004124828
0.581151843,0.008228018,,,0.875808259,0.001381416,,0.5390625,0.010023248,,0.929637432,0.001036011,,,,0.454901993,0.010618043,,,,,0.525490224,0.01034483,,0.73390386,0.004443128
0.603921592,0.008006162,,,0.892743895,0.001301725,,0.546875,0.009901574,,0.915129647,0.001086599,,,,0.457680225,0.010937511,,,,,0.545454562,0.010001647,,0.752753983,0.004760206
